id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07ae1f,000080029C07AE0F,IDU00331-W Highstreet Rooftop-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:47:46,0.0,2022-09-29 17:37:00,2022-09-29 17:04:59,2022-09-29 17:47:46
eui-000080029c07ae20,000080029C07AE12,IDU00336-PWX,,,False,,0.0,,,
eui-000080029c07ae22,000080029C07AE13,IDU00399-AFPOVAI Phase 3 Manila Water-PWX,2022-09-22 22:47:03,,True,2022-09-29 17:48:03,0.0,2022-09-29 17:41:08,2022-09-29 15:26:17,2022-09-29 17:48:03
eui-000080029c07ae23,000080029C07AE15,IDU00324-BPI FTI Taguig-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:09,0.0,2022-09-29 17:48:09,2022-09-29 17:48:09,2022-09-29 17:48:02
eui-000080029c07ae24,000080029C07AE1B,IDU00476-W Group-PWX,2022-09-22 22:47:00,,True,2022-09-29 17:48:04,0.0,2022-09-29 17:48:04,2022-09-29 17:27:05,2022-09-29 17:47:37
eui-000080029c07ae2e,000080029C07AE1F,IDU00356-Torre De Manila 10F-PWX,2022-09-25 13:39:59,,True,2022-09-29 17:48:11,0.0,2022-09-29 04:11:56,2022-09-29 04:09:05,2022-09-29 17:48:11
eui-000080029c07ae2f,E000080029C07AE2,IDU00348-ThingsPh Sodexo-PWX,2022-09-22 22:47:02,,True,2022-09-29 17:47:35,0.0,2022-09-29 17:44:16,2022-09-29 14:50:17,2022-09-29 17:47:35
eui-000080029c07ae31,000080029C07AE22,IDU00442-Jopet2-PWX,,,False,,0.0,,,
eui-000080029c07ae33,000080029C07AE23,IDU00333-SM Jazz Residence,,,False,,0.0,,,
eui-000080029c07ae35,000080029C07AE24,IDU00365-Gawad Kalinga Rooftop,2022-09-27 06:57:20,,True,2022-09-29 17:47:41,0.0,2022-09-29 17:47:41,2022-09-29 17:44:00,2022-09-29 17:47:21
eui-000080029c07ae3b,000080029C07AE2E,IDU00327-PWX,,,False,,0.0,,,
eui-000080029c07ae45,000080029C07AE2F,IDU00364-BPI Buendia Pasong Tamo-PWX,2022-09-24 11:54:15,,True,2022-09-29 17:47:45,0.0,2022-09-29 17:47:45,2022-09-29 17:46:29,2022-09-29 17:47:29
eui-000080029c07ae4a,000080029C07AE31,IDU00380-Concentrix-UPA-D-GF Server Room,2022-09-23 04:15:12,,True,2022-09-29 17:48:10,0.0,2022-09-29 17:48:10,2022-09-29 17:35:36,2022-09-29 17:47:44
eui-000080029c07ae4c,000080029C07AE33,IDU00378-Concentrix-SHAW-UPS ROOM,2022-09-24 11:49:56,,True,2022-09-29 17:47:56,0.0,2022-09-29 17:46:29,2022-09-29 15:52:02,2022-09-29 17:47:56
eui-000080029c07ae4e,000080029C07AE35,IDU00307-SH TAFT NORTH MEGAWORLD ILOILO COSS,2022-09-25 16:32:33,,True,2022-09-29 17:47:58,0.0,2022-09-29 17:47:39,2022-09-29 17:36:05,2022-09-29 17:47:58
eui-000080029c07ae4f,000080029C07AE3B,IDU00306-SH NATALIO BACALSO CEBU COSS-PWX,,,False,,0.0,,,
eui-000080029c07ae50,000080029C07AE45,IDU00422-Brgy. Valencia Hills Panel-PWX,2022-09-24 11:29:43,,True,2022-09-29 17:48:12,0.0,2022-09-29 17:38:18,2022-09-29 15:51:23,2022-09-29 17:48:12
eui-000080029c07ae58,000080029C07AE4A,IDU00354-Clixlogic Vismin-PWX,,,False,,0.0,,,
